danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.748,0.7847999999999999,-6.8217,0.0861,0.109232,0.216150705,0.23983,0.41584000000000004,124.88910000000001
0.6259,0.8246,-5.677,0.06483,0.144734,0.2298073,0.22027000000000002,0.38239999999999996,119.5404
0.5935,0.6799999999999999,-5.76625,0.027925,0.1582,0.0056390550000000005,0.22415000000000002,0.47450000000000003,128.483
0.6315,0.5082,-7.0247,0.06119,0.40844,1.4879999999999998e-05,0.14362999999999998,0.45643,118.6561
0.6992999999999999,0.6619200000000001,-7.6479,0.07491,0.185389,0.029071267,0.10368999999999999,0.4648,124.6179
0.654,0.833,-4.863,0.189,0.0286,0.0,0.129,0.622,122.944
0.6463,0.6832,-5.5634,0.04416,0.194683,0.0,0.09807,0.45149999999999996,117.4854
0.436,0.625,-8.747,0.0496,0.0247,0.000147,0.0476,0.241,82.005
0.7047142857142857,0.7445714285714286,-6.773142857142857,0.05532857142857143,0.03563285714285714,0.11804085714285714,0.1301857142857143,0.5758571428571428,122.58614285714286
0.45630000000000004,0.5769,-6.4731,0.04563,0.32561,0.0,0.13982,0.362,116.6366
0.7074,0.7114,-5.99,0.058640000000000005,0.134523,0.11681541799999999,0.14783,0.32916999999999996,120.89200000000001
0.7068,0.7256,-7.731399999999999,0.05272,0.144519,0.044403649,0.20661000000000002,0.2492,122.80139999999999
0.6141,0.6419,-5.3107999999999995,0.10786,0.10156400000000002,0.0,0.15165,0.4192,111.9102
0.6169,0.7377,-4.685499999999999,0.05086,0.14243699999999998,4.096e-06,0.11882,0.45334,124.1655
0.5023,0.5407,-6.8687,0.03935,0.293721,2.65e-06,0.27692,0.4312,119.8492
0.6635,0.8019000000000001,-5.3214,0.07770999999999999,0.16214,0.0031754699999999997,0.25775,0.6775,119.0193
0.5241,0.5029,-6.948099999999999,0.05194,0.44582299999999997,0.0,0.13255999999999998,0.42560000000000003,114.3585
0.7295,0.6908000000000001,-5.2360999999999995,0.07697000000000001,0.14783200000000002,0.0013443869999999998,0.30052,0.5887,120.482
0.5128,0.9338000000000001,-6.545,0.0612,0.0013754000000000001,0.0080404,0.32520000000000004,0.7138,134.2028
0.45309999999999995,0.617,-7.145300000000001,0.05669999999999999,0.38256,1.5411e-05,0.33655,0.4615,103.1721
0.8303,0.6838,-5.7866,0.22210999999999997,0.06044000000000001,0.00193,0.12774,0.6479,131.3571
0.6866,0.6517999999999999,-5.5200000000000005,0.056909999999999995,0.12691,7.386e-05,0.13302,0.50801,110.359
0.6553,0.7641,-4.4841,0.07152,0.131799,5.136e-06,0.18181,0.5053,126.8982
0.5331428571428571,0.7448571428571429,-5.916571428571428,0.04071428571428571,0.3501714285714286,2.3587142857142856e-05,0.12547142857142857,0.37128571428571433,125.69428571428571
0.6169,0.49870000000000003,-8.5267,0.05734,0.6399,0.002877747,0.12181,0.35760000000000003,127.9469
0.5476,0.634,-6.3225,0.04934,0.182483,0.00032335,0.29806,0.36506,123.84670000000001
0.7653000000000001,0.5848,-7.5907,0.12357,0.0819,1.9861e-05,0.38598,0.8035,136.5138
0.6353333333333334,0.5216666666666666,-10.078333333333333,0.037899999999999996,0.65,0.2226516666666667,0.16,0.32633333333333336,103.947
